round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1score,val_matthews,val_rmse,val_mean_squared_error,loss,acc,precision,recall,f1score,matthews,rmse,mean_squared_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,losses,lr,optimizer
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63674,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63674,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,0,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,610.9703979492188,0.0,0.0,0.0,0.0,0.0,24.696138381958008,610.9703979492188,600.9440185546875,0.0,0.0,0.0,0.0,0.0,24.483158,600.94403,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,19.356931686401367,0.0,1.0,1.0,1.0,0.0,4.263182640075684,19.356931686401367,17.606197357177734,0.0,1.0,1.0,1.0,0.0,4.057233,17.606197,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,168.96224975585938,0.0,0.0,0.0,0.0,0.0,12.972668647766113,168.96224975585938,164.42415466308594,0.0,0.0,0.0,0.0,0.0,12.783391,164.42416,relu,32,0.0,500,4,0,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,0,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,84.38325500488281,0.0,1.0,1.0,1.0,0.0,9.144554138183594,84.38325500488281,82.26752624511718,0.0,1.0,1.0,1.0,0.0,9.019518,82.26753,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,37.843482971191406,0.0,1.0,1.0,1.0,0.0,6.001706600189209,37.843482971191406,32.53118553161621,0.0,1.0,1.0,1.0,0.0,5.3886576,32.531185,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,178.21859741210938,0.0,0.0,0.0,0.0,0.0,13.330474853515625,178.21859741210938,175.21820983886718,0.0,0.0,0.0,0.0,0.0,13.203371,175.21822,relu,32,0.0,500,4,0,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,0,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,747.4021606445312,0.0,0.0,0.0,0.0,0.0,27.3310489654541,747.4021606445312,734.67265625,0.0,0.0,0.0,0.0,0.0,27.07484,734.67267,relu,32,0.0,500,4,0,64,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,34.49543380737305,0.0,1.0,1.0,1.0,0.0,5.807931423187256,34.49543380737305,32.69709777832031,0.0,1.0,1.0,1.0,0.0,5.6257315,32.697098,relu,32,0.0,500,4,0,64,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,206.3358917236328,0.0,0.0,0.0,0.0,0.0,14.345959663391113,206.3358917236328,200.01590576171876,0.0,0.0,0.0,0.0,0.0,14.108765,200.0159,relu,32,0.0,500,4,0,64,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674774169922,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,1,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,1,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,1,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,4.3321027755737305,0.0,1.0,1.0,1.0,0.0,1.887596845626831,4.3321027755737305,3.5449758529663087,0.025,1.0,1.0,1.0,0.0,1.5793461,3.544976,relu,32,0.0,500,4,1,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,1.656794786453247,0.0,1.0,1.0,1.0,0.0,0.987898051738739,1.656794786453247,1.3603541374206543,0.0375,1.0,1.0,1.0,0.0,0.9430381,1.3603542,relu,32,0.0,500,4,1,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,106.7770767211914,0.0,0.0,0.0,0.0,0.0,10.298852920532227,106.7770767211914,104.6570068359375,0.0,0.0,0.0,0.0,0.0,10.184415,104.657005,relu,32,0.0,500,4,1,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674621582031,0.0,1.0,1.0,1.0,0.0,8.985,81.63674,relu,32,0.0,500,4,1,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,1,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674621582031,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,1,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,3.3114662170410156,0.0,1.0,1.0,1.0,0.0,1.5531293153762817,3.3114662170410156,3.914898681640625,0.0125,1.0,1.0,1.0,0.0,1.6112063,3.9148986,relu,32,0.0,500,4,1,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,144.53427124023438,0.0,0.0,0.0,0.0,0.0,11.99760913848877,144.53427124023438,142.3510314941406,0.0,0.0,0.0,0.0,0.0,11.893479,142.35103,relu,32,0.0,500,4,1,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,1.8782774209976196,0.0,1.0,1.0,1.0,0.0,1.0748639106750488,1.8782774209976196,1.3116148471832276,0.025,1.0,1.0,1.0,0.0,0.9249452,1.3116148,relu,32,0.0,500,4,1,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,1,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985001,81.63676,relu,32,0.0,500,4,1,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674621582031,0.0,1.0,1.0,1.0,0.0,8.985001,81.63674,relu,32,0.0,500,4,1,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,133.38125610351562,0.0,0.0,0.0,0.0,0.0,11.52862548828125,133.38125610351562,128.18917846679688,0.0,0.0,0.0,0.0,0.0,11.275325,128.18918,relu,32,0.0,500,4,1,64,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,2.0628628730773926,0.0,1.0,1.0,1.0,0.0,1.1798763275146484,2.0628628730773926,2.0701951503753664,0.025,1.0,1.0,1.0,0.0,1.1444037,2.070195,relu,32,0.0,500,4,1,64,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,157.36474609375,0.0,0.0,0.0,0.0,0.0,12.520017623901367,157.36474609375,153.88108520507814,0.0,0.0,0.0,0.0,0.0,12.368475,153.88107,relu,32,0.0,500,4,1,64,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,2,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.984999,81.63675,relu,32,0.0,500,4,2,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63674,relu,32,0.0,500,4,2,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,52.596046447753906,0.0,1.0,1.0,1.0,0.0,7.1981916427612305,52.596046447753906,50.80517654418945,0.0,1.0,1.0,1.0,0.0,7.060885,50.805176,relu,32,0.0,500,4,2,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,6.933398246765137,0.0,1.0,1.0,1.0,0.0,2.35888409614563,6.933398246765137,6.884861850738526,0.025,1.0,1.0,1.0,0.0,2.3985755,6.884862,relu,32,0.0,500,4,2,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,143.19534301757812,0.0,0.0,0.0,0.0,0.0,11.935171127319336,143.19534301757812,140.20177307128907,0.0,0.0,0.0,0.0,0.0,11.80327,140.20177,relu,32,0.0,500,4,2,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,2,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,2,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63676,relu,32,0.0,500,4,2,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,102.9561538696289,0.0,0.0,0.0,0.0,0.0,10.113500595092773,102.9561538696289,100.57683715820312,0.0,0.0,0.0,0.0,0.0,9.983502,100.576836,relu,32,0.0,500,4,2,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,26.371408462524414,0.0,1.0,1.0,1.0,0.0,4.8898725509643555,26.371408462524414,28.704258346557616,0.0,1.0,1.0,1.0,0.0,5.144088,28.704258,relu,32,0.0,500,4,2,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,152.31588745117188,0.0,0.0,0.0,0.0,0.0,12.328765869140625,152.31588745117188,143.64744262695314,0.0,0.0,0.0,0.0,0.0,11.9344425,143.64745,relu,32,0.0,500,4,2,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,2,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985001,81.63676,relu,32,0.0,500,4,2,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,2,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,128.1960906982422,0.0,0.0,0.0,0.0,0.0,11.276515007019043,128.1960906982422,127.07383422851562,0.0,0.0,0.0,0.0,0.0,11.211757,127.07383,relu,32,0.0,500,4,2,64,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,1.5231506824493408,0.0,1.0,1.0,1.0,0.0,0.9769636988639832,1.5231506824493408,1.461832618713379,0.025,1.0,1.0,1.0,0.0,0.93479174,1.4618326,relu,32,0.0,500,4,2,64,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,100.00819396972656,0.0,10.999999046325684,0.550000011920929,1.047619104385376,0.0,9.960530281066895,100.00819396972656,98.05577392578125,0.0,76666670.0,0.5,0.9779412,0.0,9.855204,98.05577,relu,32,0.0,500,4,2,64,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,3,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,3,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,3,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,99.26066589355469,0.0,190000000.0,0.949999988079071,1.899999976158142,0.0,9.93074893951416,99.26066589355469,96.25011291503907,0.0,260000000.0,0.9791667,1.9583334,0.0,9.765508,96.25011,relu,32,0.0,500,4,3,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,54.003082275390625,0.0,1.0,1.0,1.0,0.0,7.280667304992676,54.003082275390625,52.542059326171874,0.0,1.0,1.0,1.0,0.0,7.1819,52.54206,relu,32,0.0,500,4,3,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,148.1270294189453,0.0,0.0,0.0,0.0,0.0,12.143587112426758,148.1270294189453,146.36376342773437,0.0,0.0,0.0,0.0,0.0,12.0567875,146.36375,relu,32,0.0,500,4,3,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,3,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,3,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674621582031,0.0,1.0,1.0,1.0,0.0,8.985,81.63674,relu,32,0.0,500,4,3,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,56.938148498535156,0.0,1.0,1.0,1.0,0.0,7.485693454742432,56.938148498535156,55.02622833251953,0.0,1.0,1.0,1.0,0.0,7.346984,55.026234,relu,32,0.0,500,4,3,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,23.141271591186523,0.0,1.0,1.0,1.0,0.0,4.643501281738281,23.141271591186523,22.475801086425783,0.0,1.0,1.0,1.0,0.0,4.606295,22.4758,relu,32,0.0,500,4,3,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,74.63043212890625,0.0,1.0,1.0,1.0,0.0,8.601177215576172,74.63043212890625,70.92471466064453,0.0,1.0,1.0,1.0,0.0,8.3665085,70.92471,relu,32,0.0,500,4,3,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674774169922,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,3,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,3,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,3,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,73.18783569335938,0.0,1.0,1.0,1.0,0.0,8.508980751037598,73.18783569335938,70.6103012084961,0.0,1.0,1.0,1.0,0.0,8.349893,70.610306,relu,32,0.0,500,4,3,64,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,2.217496395111084,0.0,1.0,1.0,1.0,0.0,1.1349201202392578,2.217496395111084,1.5577962875366211,0.025,1.0,1.0,1.0,0.0,0.9604594,1.5577962,relu,32,0.0,500,4,3,64,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,101.26542663574219,0.0,170000000.0,0.8500000238418579,1.7000000476837158,0.0,10.028432846069336,101.26542663574219,98.89655914306641,0.0,233333330.0,0.8958333,1.7916666,0.0,9.89852,98.89656,relu,32,0.0,500,4,3,64,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674774169922,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,4,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,4,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,4,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,36.349952697753906,0.0,1.0,1.0,1.0,0.0,5.951864719390869,36.349952697753906,35.58504638671875,0.0,1.0,1.0,1.0,0.0,5.8765526,35.585045,relu,32,0.0,500,4,4,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,63.545310974121094,0.0,1.0,1.0,1.0,0.0,7.894578456878662,63.545310974121094,62.44161376953125,0.0,1.0,1.0,1.0,0.0,7.8205886,62.441612,relu,32,0.0,500,4,4,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,102.62274169921875,0.0,60000000.0,0.30000001192092896,0.6000000238418579,0.0,10.093552589416504,102.62274169921875,100.9413345336914,0.0,43333332.0,0.15625,0.3125,0.0,10.000834,100.94133,relu,32,0.0,500,4,4,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.984999,81.63676,relu,32,0.0,500,4,4,32,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,4,32,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63676,relu,32,0.0,500,4,4,32,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,48.454010009765625,0.0,1.0,1.0,1.0,0.0,6.903166770935059,48.454010009765625,46.717098999023435,0.0,1.0,1.0,1.0,0.0,6.7643104,46.7171,relu,32,0.0,500,4,4,32,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,2.980515718460083,0.0,1.0,1.0,1.0,0.0,1.4191148281097412,2.980515718460083,1.8144084930419921,0.0125,1.0,1.0,1.0,0.0,1.1059586,1.8144085,relu,32,0.0,500,4,4,32,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,116.779296875,0.0,0.0,0.0,0.0,0.0,10.778327941894531,116.779296875,113.75229187011719,0.0,0.0,0.0,0.0,0.0,10.622052,113.7523,relu,32,0.0,500,4,4,32,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674774169922,0.0,1.0,1.0,1.0,0.0,8.985,81.63675,relu,32,0.0,500,4,4,64,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,4,4,64,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.985001,81.63675,relu,32,0.0,500,4,4,64,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,100.43083190917969,0.0,200000000.0,1.0,2.0,0.0,9.986448287963867,100.43083190917969,98.25175170898437,0.0,246666670.0,0.9375,1.875,0.0,9.865805,98.25175,relu,32,0.0,500,4,4,64,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,1.5453451871871948,0.0,1.0,1.0,1.0,0.0,0.9822279214859009,1.5453451871871948,1.1511245965957642,0.025,1.0,1.0,1.0,0.0,0.8592183,1.1511246,relu,32,0.0,500,4,4,64,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,85.87471771240234,0.0,1.0,1.0,1.0,0.0,9.231074333190918,85.87471771240234,83.06749114990234,0.0,1.0,1.0,1.0,0.0,9.064199,83.06749,relu,32,0.0,500,4,4,64,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675231933594,0.0,1.0,1.0,1.0,0.0,8.985001,81.63676,relu,32,0.0,500,8,0,16,softmax,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63674926757812,0.0,1.0,1.0,1.0,0.0,8.984999,81.63675,relu,32,0.0,500,8,0,16,softmax,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,83.7564926147461,0.0,1.0,1.0,1.0,0.0,9.114999771118164,83.7564926147461,81.63675079345703,0.0,1.0,1.0,1.0,0.0,8.985,81.63676,relu,32,0.0,500,8,0,16,softmax,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
500,104.9718017578125,0.0,10000000.0,0.05000000074505806,0.10000000149011612,0.0,10.213544845581055,104.9718017578125,101.65398559570312,0.0,13333333.0,0.0625,0.12254902,0.0,10.034491,101.653984,relu,32,0.0,500,8,0,16,linear,mean_squared_error,0.001,<class 'keras.optimizers.Adam'>
500,1.800421118736267,0.0,1.0,1.0,1.0,0.0,1.0478882789611816,1.800421118736267,3.1572933197021484,0.0,1.0,1.0,1.0,0.0,1.4216955,3.1572933,relu,32,0.0,500,8,0,16,linear,mean_squared_error,0.01,<class 'keras.optimizers.Adam'>
500,18.04158592224121,0.05000000074505806,1.0,1.0,1.0,0.0,3.865091323852539,18.04158592224121,18.90647621154785,0.0,1.0,1.0,1.0,0.0,4.005884,18.906475,relu,32,0.0,500,8,0,16,linear,mean_squared_error,0.0005,<class 'keras.optimizers.Adam'>
